material_id,material_name,material_type,strength_kg,weight_g_per_m2,biodegradability_score,co2_emission_kg_per_kg,recyclability_percent,cost_kg,water_resistance_score,eco_score
1,Kraft_Paper,Paper,120,190,0.9,0.7,80,0.12,0.3,0.9000000000000001
2,Corrugated_Carton,Paper,300,200,0.85,0.9,70,0.2,0.4,0.8500000000000001
3,Molded_Pulp,Pulp,200,350,0.95,0.4,90,0.18,0.2,0.9499999999999998
4,PLA_Bioplastic,Plastic,110,30,0.6,1.5,50,0.25,0.5,0.6000000000000003
5,Recycled_PE_Film,Plastic,70,40,0.5,1.3,60,0.15,0.4,0.5000000000000003
6,Bamboo_Fiber,Pulp,250,220,0.92,0.6,85,0.22,0.4,0.92
7,Sugarcane_Bagasse,Pulp,180,300,0.95,0.5,90,0.17,0.2,0.95
8,Jute_Fiber,Textile,150,350,0.88,0.8,75,0.16,0.4,0.8800000000000002
9,Hemp_Fiber,Textile,170,330,0.9,0.7,80,0.18,0.5,0.9000000000000001
10,Starch_Bioplastic,Plastic,90,50,0.85,1.2,60,0.21,0.3,0.8500000000000004
11,Cornstarch_Packaging,Compostable,80,40,0.95,0.7,65,0.23,0.3,0.9500000000000002
12,Mushroom_Packaging,Compostable,140,250,0.98,0.3,95,0.3,0.2,0.9800000000000001
13,Recycled_Paper_Board,Paper,200,250,0.8,0.9,85,0.14,0.3,0.8
14,Recycled_PET_Sheet,Plastic,250,180,0.5,1.4,60,0.19,0.5,0.5000000000000002
15,Bubble_Wrap_Alternative,Paper,40,60,0.9,0.5,75,0.1,0.1,0.9000000000000001
16,Coconut_Coir_Packaging,Biofiber,130,300,0.92,0.6,80,0.2,0.2,0.92
17,Seaweed_BioWrap,Compostable,50,25,0.99,0.2,70,0.35,0.2,0.9900000000000003
18,Air_Paper_Pods,Paper,60,70,0.85,0.4,80,0.18,0.1,0.8500000000000001
19,Duplex_Board,Paper,260,210,0.75,1.0,70,0.19,0.3,0.7500000000000001
20,PaperFoam,Compostable,100,150,0.97,0.3,85,0.28,0.2,0.97
21,Bagasse_Plates,Fiber,180,120,0.92,0.3,85,0.28,0.4,0.9200000000000002
22,Wheat_Straw_Board,Composite,220,140,0.88,0.4,80,0.32,0.5,0.8800000000000001
23,Pine_Wood_Thin,Wood,300,250,0.7,0.6,65,0.5,0.6,0.7000000000000002
24,Bamboo_Board,Wood,350,280,0.75,0.5,70,0.55,0.7,0.7500000000000002
25,Recycled_Cotton_Fiber,Textile,150,110,0.94,0.25,90,0.22,0.3,0.9400000000000001
26,Jute_Composite,Fiber,200,140,0.89,0.35,88,0.27,0.4,0.89
27,PLA_Corn_Based,Plastic,280,95,0.97,0.2,60,0.45,0.5,0.9700000000000001
28,Algae_Bioplastic,Plastic,260,90,0.98,0.15,55,0.42,0.4,0.9800000000000004
29,Recycled_HDPE,Plastic,400,110,0.4,0.8,75,0.6,0.8,0.4000000000000002
30,Recycled_LDPE,Plastic,350,100,0.45,0.75,70,0.55,0.7,0.45000000000000023
31,Honeycomb_Paper,Fiber,180,85,0.93,0.28,82,0.26,0.5,0.93
32,Molded_Wheat_Fiber,Fiber,170,90,0.95,0.22,84,0.25,0.4,0.9500000000000001
33,Areca_Plate_Fiber,Fiber,160,80,0.98,0.18,92,0.23,0.4,0.9800000000000002
34,Sugarcane_Pulp_Molded,Fiber,190,100,0.91,0.3,86,0.29,0.5,0.91
35,Recycled_Glass_Pellets,Glass,550,350,0.2,1.2,50,0.8,0.9,0.2000000000000003
36,Foam_Starch_Based,Foam,120,70,0.97,0.15,93,0.21,0.3,0.97
37,Rice_Husk_Composite,Composite,240,130,0.9,0.35,78,0.33,0.5,0.9000000000000001
38,Coconut_Fiber_Mesh,Fiber,210,145,0.88,0.4,77,0.31,0.6,0.8800000000000002
39,Hemp_Bioplastic,Plastic,300,120,0.85,0.5,68,0.45,0.6,0.8500000000000003
40,Recycled_Tin_Metal,Metal,450,300,0.1,1.5,40,0.9,0.95,0.10000000000000049
