category_id,category_name,common_products,packaging_requirements,fragility_level,ideal_material_types
1,Electronics,Mobile Phones,Shock resistance & moisture protection,5,"Bubble wrap; Biodegradable foam; Corrugated cardboard"
2,Electronics,Laptops,Shock protection & heat insulation,5,"Corrugated box; Molded pulp"
3,Electronics,Headphones,Impact resistance,3,"Recyclable plastic; Kraft paper"
4,Electronics,LED TVs,Heavy-duty cushioning,5,"Molded pulp; Reinforced cardboard"
5,Electronics,USB Drives,Moisture protection,2,"Kraft paper; Recyclable plastic"
6,Food,Biscuits,Moisture barrier,1,"Biodegradable film; Paper box"
7,Food,Fruits,Freshness preservation,1,"Compostable bags; Biodegradable trays"
8,Food,Vegetables,Airflow & freshness,1,"Compostable mesh bags"
9,Food,Rice,Strength & tear resistance,1,"Recyclable PP bags"
10,Food,Pulses,Moisture barrier,1,"Recyclable PP bags"
11,Cosmetics,Lipstick,Impact & temperature protection,2,"Paper tube; Bamboo packaging"
12,Cosmetics,Face Cream,Moisture & leakage control,2,"Glass jar; Paper box"
13,Cosmetics,Perfume,High fragility,5,"Molded pulp; Thick cardboard"
14,Cosmetics,Shampoo Bottles,Spill protection,1,"Recyclable HDPE; Paper wrap"
15,Cosmetics,Eyeshadow,Powder safety,3,"Paper palette; Foam insert"
16,Clothing,T-Shirts,Simple protection,1,"Recyclable polybag; Kraft wrap"
17,Clothing,Jeans,Moisture-resistant packaging,1,"Kraft paper; Recycled bag"
18,Clothing,Jackets,Premium packaging,1,"Biodegradable garment bags"
19,Clothing,Shoes,Impact resistance,2,"Thick cardboard box"
20,Furniture,Chairs,Scratch prevention,4,"Corrugated sheets; Honeycomb board"
21,Furniture,Tables,Heavy-duty support,4,"Reinforced cardboard; Molded edge protectors"
22,Furniture,Lamps,Fragile,4,"Molded pulp; Protected box"
23,Healthcare,Medical Syringes,Sterile packaging,2,"Medical-grade recyclable plastic"
24,Healthcare,Face Masks,Hygienic & sealed,1,"Paper box"
25,Healthcare,Gloves,Sterile pouch,1,"Recyclable PE"
26,Toys,Soft Toys,Simple protection,1,"Recyclable polybag"
27,Toys,Action Figures,Scratch protection,2,"Recyclable PET; Paper box"
28,Toys,Remote Cars,Shock protection,3,"Cardboard; Molded pulp"
29,Automobile,Spark Plugs,Anti-rust packaging,3,"Corrugated box"
30,Automobile,Brake Pads,Shock-proof packaging,4,"Heavy-duty cardboard"
31,Home Appliances,Blenders,Shock resistance,4,"Cardboard; Foam"
32,Home Appliances,Fans,Medium protection,3,"Corrugated box"
33,Kitchenware,Plates,Stack protection,3,"Kraft box"
34,Kitchenware,Glass Bowls,Fragile,5,"Molded pulp; Reinforced box"
35,Kitchenware,Cutlery Sets,Organized packing,1,"Paper tray; Box"
36,Stationery,Notebooks,Moisture protection,1,"Kraft paper"
37,Stationery,Pencils,Simple packing,1,"Paper wrap"
38,Sports,Gym Gloves,Simple protection,1,"Recyclable bag"
39,Sports,Cricket Balls,Impact protection,2,"Paper box"
40,Sports,Tennis Rackets,Shock protection,3,"Foam padded sleeve"
