id,material,weight,cost,co2_emission,recyclable,durability
1,Leaf Husk Biopolymer Lightweight,14.9,5.9,0.42,1,6
2,Plant-Based Laminate Recycled Large,24.5,6.0,0.54,1,5
3,Recycled Plastic Mix HeavyDuty Small,13.4,8.2,0.09,1,8
4,Sugar Palm Fiber Consumer Small,14.9,5.2,0.38,1,7
5,Rice Straw Pulp Blend,33.4,7.4,0.28,1,7
6,Corrugated Fiberboard Lightweight Large,18.6,3.4,0.98,1,5
7,BioFoam Consumer,11.0,5.9,1.01,1,5
8,Jute Stick Composite Premium Fiber,16.0,5.7,0.26,1,9
9,Recycled Plastic Mix Industrial Pack,16.9,6.9,0.48,1,8
10,Tapioca Polymer Standard Medium,52.8,7.1,0.98,1,8
11,Starch-Coir Composite Blend Sheet,16.6,5.7,0.47,1,7
12,Palm Husk Fiber HeavyDuty Large,26.0,6.4,0.44,1,7
13,Corn-Based BioWrap Composite Small,15.4,8.5,0.5,1,8
14,Aluminum Can Blend Small,41.3,15.1,1.32,1,9
15,Hemp Bioplastic Composite Pack,13.2,6.9,1.19,1,5
16,Tapioca Polymer Standard Blend,37.9,9.8,0.44,1,5
17,Coffee Husk Polymer Lightweight Fiber,9.4,3.5,1.25,1,7
18,Glass Consumer Pack,88.6,7.8,1.99,1,8
19,Hybrid Starch Plastic Sheet,26.1,6.3,1.16,1,7
20,Recycled Steel Premium Small,104.1,9.6,0.46,1,9
21,Plastic (HDPE) Premium Pack,15.2,7.3,1.12,1,8
22,Glass Premium Small,102.0,10.0,2.21,1,9
23,Paper-Pulp Mold Recycled Blend,22.9,2.9,0.26,1,6
24,Leaf Husk Biopolymer Composite Medium,22.1,5.0,0.35,1,7
25,Areca Bark Composite Composite Large,18.0,7.3,0.31,1,5
26,Bagasse Bioplastic Recycled Small,13.5,4.4,0.21,1,7
27,Corn Bagasse Blend HeavyDuty Large,29.2,8.5,0.94,1,9
28,Bamboo Fiber Industrial Fiber,15.3,5.3,0.26,1,7
29,Reed Fiber Consumer Large,21.3,5.2,0.59,1,6
30,Algae Fiber Board Composite,14.1,6.7,0.28,1,8
31,BioFoam Standard Sheet,12.9,5.5,0.33,1,6
32,Paper Laminated Recycled Small,37.5,4.2,0.44,1,8
33,Pine Needle Composite Sheet,43.5,8.4,1.24,1,8
34,Pine Needle Composite Industrial Fiber,50.8,4.9,0.99,1,8
35,Kenaf-Pulp Blend Industrial Medium,21.3,9.0,0.81,1,6
36,Paperboard HeavyDuty Large,56.3,7.1,0.28,1,6
37,Palm Fiber Polymer Consumer Pack,22.4,7.7,0.75,1,7
38,Palm Fiber Polymer Fiber,24.5,8.1,0.89,1,6
39,Palm Leaf Pulp Fiber,20.3,4.4,0.42,1,5
40,Rice Straw Polymer Premium Medium,13.4,9.6,0.96,1,6
41,Chitosan Film Industrial Small,50.4,6.6,1.13,1,6
42,Recycled Fiber Foam Standard Small,20.0,3.8,0.1,1,7
43,Foam (EPS) HeavyDuty Fiber,11.3,2.5,2.66,0,7
44,Green Paper Lightweight Fiber,22.4,5.5,0.68,1,5
45,Paper-Pulp Mold Blend,26.8,6.2,0.44,1,7
46,Pineapple Leaf Fiber Recycled,30.4,5.5,0.44,1,7
47,Algae Fiber Board Lightweight Pack,19.9,3.6,0.46,1,7
48,Organic Starch Plate Composite Small,22.8,6.9,0.79,1,7
49,Jute-Poly Blend Blend Medium,23.3,6.4,0.34,1,7
50,Hard Paper Shell Standard Pack,38.0,3.3,0.24,1,6
51,Pea Starch Polymer HeavyDuty Small,19.4,9.2,0.47,1,9
52,Citrus Waste Polymer Recycled Large,16.4,3.6,0.13,1,5
53,Foam (EPS) Composite Medium,10.0,3.4,1.62,0,4
54,Bamboo Mesh Consumer,27.6,4.3,0.42,1,8
55,Green Paper Composite Blend,30.4,7.3,0.5,1,7
56,Cardboard Lightweight Sheet,18.5,3.3,0.78,1,7
57,Brewery Waste Composite Recycled Large,37.9,7.0,0.44,1,8
58,Bioplastic (PHA) Premium Small,10.5,7.2,0.41,1,8
59,Glass Industrial Small,46.9,12.6,2.5,1,10
60,Corn-Based BioWrap Consumer Medium,14.0,7.3,0.51,1,6
61,Coconut Coir Industrial Medium,54.2,10.1,0.3,1,7
62,Paperboard Consumer Fiber,21.8,6.1,0.27,1,7
63,Pine Needle Composite Consumer Large,30.9,5.2,1.28,1,6
64,Bio-Resin Plate Recycled Fiber,19.1,7.5,0.28,1,5
65,Bagasse Bioplastic Composite Blend,20.9,8.3,0.83,1,5
66,Mango Seed Polymer Consumer Blend,57.3,7.6,0.34,1,6
67,Areca Leaf Plate Premium Large,13.2,7.0,0.99,1,7
68,Jute Composite,14.3,5.3,0.84,1,6
69,Rice Straw Pulp Consumer Large,24.0,3.8,0.72,1,6
70,Rice Straw Pulp Premium,16.8,9.0,0.69,1,9
71,Cotton Fabric Standard Large,23.4,7.6,0.8,1,8
72,Jute Standard Sheet,21.3,5.7,0.3,1,6
73,Cotton Fabric Consumer Large,16.5,7.4,0.52,1,8
74,Palm Husk Fiber Industrial Large,29.2,8.4,0.26,1,7
75,Bamboo Mesh HeavyDuty Blend,30.5,4.8,0.75,1,9
76,Tea Waste Composite Industrial Fiber,50.3,5.8,0.91,1,7
77,Kenaf Fiber Lightweight Small,18.8,4.3,0.78,1,6
78,Husk-Molded Packaging Blend Sheet,40.3,2.9,0.44,1,8
79,Recycled Glass Fiber Blend Blend,31.3,2.6,0.41,1,8
80,Organic Resin Foam Standard Small,8.5,3.2,2.02,0,4
81,Bioplastic (PHA) Blend Sheet,12.8,6.8,0.73,1,5
82,Palm Wax Composite Lightweight Large,28.2,3.7,0.52,1,6
83,Kenaf Fiber Premium Blend,15.0,4.9,0.33,1,7
84,Rice Husk Composite Blend Medium,47.9,5.3,1.05,1,6
85,Palm Husk Fiber Industrial Large,33.5,8.2,0.94,1,9
86,Citrus Waste Polymer Lightweight Blend,7.7,4.6,0.75,1,6
87,Tapioca Polymer Consumer Small,25.9,5.5,1.0,1,8
88,Bioplastic (PLA) Consumer,26.4,6.4,0.49,1,6
89,Aluminum Can Premium Medium,76.6,9.9,2.6,1,9
90,Bio-PET Industrial Blend,25.5,6.8,1.23,1,7
91,Pine Needle Composite Blend,40.1,6.8,0.61,1,8
92,Banana Fiber Blend,23.3,5.9,0.61,1,7
93,Coconut Shell Fiber Recycled Blend,25.3,4.8,0.34,1,6
94,Cotton Waste Composite Blend Blend,16.0,5.1,0.37,1,6
95,Foam (EPS) Premium Pack,9.9,5.3,3.68,0,7
96,Pine Needle Composite Standard,29.0,8.6,0.41,1,7
97,Palm Fiber Polymer Composite,23.5,4.4,0.6,1,7
98,Bioplastic (PLA) Blend,22.4,6.7,0.74,1,7
99,Pea Starch Polymer Consumer Medium,8.3,7.0,0.37,1,6
100,Bioplastic (PHA) Consumer Small,19.4,5.1,1.02,1,7
101,Leaf-Pulp Shell HeavyDuty Small,47.7,7.3,0.33,1,8
102,Green Paper Lightweight Large,27.8,5.8,0.5,1,6
103,Paper Laminated Lightweight Large,28.4,3.5,0.66,1,5
104,Bio-EVA,18.5,6.6,0.4,1,8
105,Coco-Peat Composite Lightweight Fiber,32.2,3.5,0.95,1,6
106,Husk-Molded Packaging Sheet,23.2,2.5,0.36,1,6
107,Paperboard Premium Sheet,41.6,4.9,0.28,1,8
108,PLA-Starch Blend Recycled Fiber,14.8,5.0,0.32,1,6
109,Coconut Coir Recycled Blend,27.0,8.9,0.23,1,5
110,Mushroom Packaging Lightweight,18.5,9.0,1.08,1,7
111,Hard Paper Shell Small,21.0,5.6,0.4,1,6
112,Cotton Fabric Consumer Large,27.0,6.8,0.81,1,7
113,Pea Starch Polymer Recycled Medium,20.6,6.2,0.5,1,8
114,PLA-Bamboo Blend Lightweight Large,15.5,4.2,0.82,1,7
115,Areca Bark Composite Recycled Medium,47.4,8.5,0.56,1,6
116,Bio-cellulose Film Consumer Pack,20.2,6.6,1.02,1,7
117,Organic BioFoam Consumer,12.7,4.5,0.94,1,5
118,Bagasse Bioplastic Consumer Pack,22.0,6.1,0.63,1,8
119,Husk-Molded Packaging Lightweight Medium,31.1,2.8,0.6,1,7
120,Paperboard Lightweight Small,22.6,6.6,0.32,1,5
121,Palm Fiber Polymer Consumer Medium,19.9,4.0,0.54,1,7
122,Reed Fiber Recycled Large,11.5,5.5,0.43,1,6
123,Bio-Resin Plate Composite Large,15.1,5.1,0.85,1,5
124,Algae Fiber Board Recycled Blend,26.5,5.2,0.44,1,8
125,Cork Standard Small,13.2,6.1,1.22,1,5
126,Leaf Husk Biopolymer Blend Pack,17.9,7.6,0.73,1,7
127,Plastic (HDPE) Standard Sheet,26.6,5.4,0.92,1,7
128,Organic Starch Plate HeavyDuty Pack,29.1,9.8,0.89,1,8
129,Bamboo Fiber Industrial Fiber,36.4,10.2,0.83,1,7
130,Jute Stick Composite Standard Small,25.7,5.1,0.73,1,6
