id,material,weight,cost,co2_emission,recyclable,durability
0,Leaf Husk Biopolymer Lightweight,14.9,5.9,0.42,1,6
1,Plant-Based Laminate Recycled Large,24.5,6.0,0.54,1,5
2,Recycled Plastic Mix HeavyDuty Small,13.4,8.2,0.09,1,8
3,Sugar Palm Fiber Consumer Small,14.9,5.2,0.38,1,7
4,Rice Straw Pulp Blend,33.4,7.4,0.28,1,7
5,Corrugated Fiberboard Lightweight Large,18.6,3.4,0.98,1,5
6,BioFoam Consumer,11.0,5.9,1.01,1,5
7,Jute Stick Composite Premium Fiber,16.0,5.7,0.26,1,9
8,Recycled Plastic Mix Industrial Pack,16.9,6.9,0.48,1,8
9,Tapioca Polymer Standard Medium,52.8,7.1,0.98,1,8
10,Starch-Coir Composite Blend Sheet,16.6,5.7,0.47,1,7
11,Palm Husk Fiber HeavyDuty Large,26.0,6.4,0.44,1,7
12,Corn-Based BioWrap Composite Small,15.4,8.5,0.5,1,8
13,Aluminum Can Blend Small,41.3,15.1,1.32,1,9
14,Hemp Bioplastic Composite Pack,13.2,6.9,1.19,1,5
15,Tapioca Polymer Standard Blend,37.9,9.8,0.44,1,5
16,Coffee Husk Polymer Lightweight Fiber,9.4,3.5,1.25,1,7
17,Glass Consumer Pack,88.6,7.8,1.99,1,8
18,Hybrid Starch Plastic Sheet,26.1,6.3,1.16,1,7
19,Recycled Steel Premium Small,104.1,9.6,0.46,1,9
20,Plastic (HDPE) Premium Pack,15.2,7.3,1.12,1,8
21,Glass Premium Small,102.0,10.0,2.21,1,9
22,Paper-Pulp Mold Recycled Blend,22.9,2.9,0.26,1,6
23,Leaf Husk Biopolymer Composite Medium,22.1,5.0,0.35,1,7
24,Areca Bark Composite Composite Large,18.0,7.3,0.31,1,5
25,Bagasse Bioplastic Recycled Small,13.5,4.4,0.21,1,7
26,Corn Bagasse Blend HeavyDuty Large,29.2,8.5,0.94,1,9
27,Bamboo Fiber Industrial Fiber,15.3,5.3,0.26,1,7
28,Reed Fiber Consumer Large,21.3,5.2,0.59,1,6
29,Algae Fiber Board Composite,14.1,6.7,0.28,1,8
30,BioFoam Standard Sheet,12.9,5.5,0.33,1,6
31,Paper Laminated Recycled Small,37.5,4.2,0.44,1,8
32,Pine Needle Composite Sheet,43.5,8.4,1.24,1,8
33,Pine Needle Composite Industrial Fiber,50.8,4.9,0.99,1,8
34,Kenaf-Pulp Blend Industrial Medium,21.3,9.0,0.81,1,6
35,Paperboard HeavyDuty Large,56.3,7.1,0.28,1,6
36,Palm Fiber Polymer Consumer Pack,22.4,7.7,0.75,1,7
