category_id,category_name,fragility_level,required_strength,moisture_sensitivity,temperature_sensitivity,typical_weight_min,typical_weight_max,recommended_materials
1,Electronics,9,800,9,7,0.5,25.0,"Cardboard, Biodegradable Plastic, Recycled Plastic, Wood Fiber"
2,Food & Beverages,5,400,8,9,0.1,10.0,"Kraft Paper, Cornstarch Packaging, Seaweed Packaging, Glass, Aluminum"
3,Cosmetics & Personal Care,6,300,7,6,0.05,2.0,"Recycled Paper, Biodegradable Plastic, Glass, Bamboo Fiber"
4,Pharmaceuticals,8,500,10,10,0.01,5.0,"Glass, Aluminum, Biodegradable Plastic, Recycled Plastic"
5,Books & Media,3,250,6,4,0.2,15.0,"Cardboard, Kraft Paper, Recycled Paper, Hemp Packaging"
6,Clothing & Textiles,2,200,5,3,0.1,8.0,"Cotton Packaging, Jute Packaging, Kraft Paper, Recycled Paper"
7,Toys & Games,5,400,4,4,0.1,10.0,"Cardboard, Recycled Plastic, Biodegradable Plastic, Wood Fiber"
8,Home Appliances,7,1000,6,5,2.0,50.0,"Cardboard, Wood Fiber, Recycled Plastic, Mushroom Packaging"
9,Industrial Equipment,6,1500,7,6,5.0,100.0,"Wood Fiber, Bamboo Fiber, Aluminum, Recycled Plastic"
10,Fragile Items,10,600,8,7,0.1,15.0,"Mushroom Packaging, Cornstarch Packaging, Biodegradable Plastic, Cardboard"
11,Frozen Foods,4,350,10,10,0.2,12.0,"Biodegradable Plastic, Recycled Plastic, Aluminum, Cornstarch Packaging"
12,Glassware & Ceramics,10,700,5,6,0.3,20.0,"Mushroom Packaging, Cardboard, Wood Fiber, Biodegradable Plastic"
