product_id,product_name,industry,weight_kg,volume_cm3,fragility_level,moisture_sensitivity,temperature_sensitivity,price_usd
1,Laptop,Laptops,2.5,81.89999999999999,9.0,Medium,Low,1200
2,Smartphone,Mobile Phones,0.2,4.787999999999999,8.0,Medium,Low,800
3,Headphones,Electronics,0.4,112.0,6.0,Low,Medium,100
4,Smartwatch,Wearable Tech,0.1,0.9,7.0,Low,Medium,250
5,Bluetooth Speaker,Audio Devices,1.0,147.0,7.0,Low,Low,80
6,Gaming Console,Video Games,3.0,300.0,5.0,Low,Low,400
7,Tablet,Tablets,0.5,16.2,5.0,Low,Low,300
8,Camera,Photography,0.8,24.0,5.0,Low,Low,600
9,Drone,Photography,1.5,576.0,5.0,Low,Low,700
10,Fitness Tracker,Fitness & Health,0.1,2.0,5.0,Low,Low,150
11,Wireless Mouse,Computer Accessories,0.1,6.0,5.0,Low,Low,20
12,External Hard Drive,Computer Accessories,0.3,7.5,5.0,Low,Low,80
13,Desk Lamp,Home & Office,0.5,250.0,5.0,Low,Low,40
14,Electric Kettle,Kitchen Appliances,1.0,384.0,5.0,Low,Low,30
15,Portable Charger,Mobile Accessories,0.2,8.0,5.0,Low,Low,15
16,Wireless Earbuds,Audio Devices,0.05,4.0,7.0,Low,Low,100
17,Power Bank,Mobile Accessories,0.15,3.0,5.0,Low,Low,25
18,Car Phone Holder,Car Accessories,0.1,30.0,5.0,Low,Low,10
19,Portable Bluetooth Speaker,Audio Devices,0.3,72.0,7.0,Low,Low,50
20,Wireless Charging Pad,Mobile Accessories,0.2,8.0,5.0,Low,Low,30
21,Smart Thermostat,Home Appliances,0.2,9.0,5.0,Low,Low,150
22,Robot Vacuum,Home Appliances,2.5,432.0,5.0,Low,Low,300
23,Electric Toothbrush,Personal Care,0.3,8.0,5.0,Low,Low,50
24,Wireless Keyboard,Computer Accessories,0.5,72.0,5.0,Low,Low,40
25,Smart Doorbell,Home Security,0.3,10.0,5.0,Low,Low,120
26,Portable Blender,Kitchen Appliances,0.8,96.0,5.0,Low,Low,40
27,Wireless Security Camera,Home Security,0.4,36.0,5.0,Low,Low,80
28,Folding Electric Scooter,Outdoor & Sports,10.0,8000.0,5.0,Low,Low,400
29,Smart Scale,Fitness & Health,1.0,144.0,5.0,Low,Low,70
30,Electric Shaver,Personal Care,0.2,20.0,5.0,Low,Low,60
31,Coffee Maker,Kitchen Appliances,1.5,960.0,5.0,Low,Low,80
32,Gaming Mouse,Computer Accessories,0.15,6.0,5.0,Low,Low,50
33,Smart Light Bulb,Home & Office,0.1,16.0,5.0,Low,Low,20
34,Bluetooth Car Kit,Car Accessories,0.1,12.0,5.0,Low,Low,30
35,Wireless Presenter,Office Supplies,0.05,4.0,5.0,Low,Low,20
36,Noise Cancelling Headphones,Audio Devices,0.4,112.0,7.0,Low,Low,100
37,Portable Monitor,Computer Accessories,0.6,96.0,5.0,Low,Low,150
38,Smart Plug,Home Automation,0.1,8.0,5.0,Low,Low,20
39,Smart Glasses,Wearable Tech,0.1,24.0,7.0,Low,Medium,200
40,Desk Organizer,Home & Office,0.3,128.0,5.0,Low,Low,15
41,Smart Alarm Clock,Home & Office,0.2,32.0,5.0,Low,Low,25
42,Wireless Charging Stand,Mobile Accessories,0.3,48.0,5.0,Low,Low,30
